,h3,count,geometry
1820,88195dac17fffff,6,"POLYGON ((-0.4058120813205129 51.55206333021282, -0.4125356181347098 51.55085375614193, -0.4137411088900671 51.54637265994641, -0.4082238539857919 51.54310140264869, -0.4015013839209999 51.54431101338255, -0.4002951021223595 51.5487918447355, -0.4058120813205129 51.55206333021282))"
1821,88195dac19fffff,3,"POLYGON ((-0.389950888910424 51.56344104825234, -0.3966751955239171 51.56223290987759, -0.3978820079616539 51.55775279302482, -0.3923653048016817 51.55448107942962, -0.3856420654629544 51.55568925464672, -0.3844344621207942 51.56016910660104, -0.389950888910424 51.56344104825234))"
1822,88195dac1dfffff,5,"POLYGON ((-0.4021930961079641 51.56550443530007, -0.4089180852035036 51.56429561571453, -0.4101241063292417 51.55981523406781, -0.4046059297827774 51.55654393678494, -0.3978820079616539 51.55775279302482, -0.3966751955239171 51.56223290987759, -0.4021930961079641 51.56550443530007))"
1823,88195dac21fffff,2,"POLYGON ((-0.4511834814651506 51.57374699969853, -0.4579111957024143 51.57253545283506, -0.4591140475052117 51.56805401305875, -0.4535899781239198 51.56478438450542, -0.4468633311561612 51.56599596727099, -0.4456596864114612 51.57047714267204, -0.4511834814651506 51.57374699969853))"
1824,88195dac23fffff,4,"POLYGON ((-0.4468633311561612 51.56599596727099, -0.4535899781239198 51.56478438450542, -0.4547929616924286 51.56030271949722, -0.4492700910077068 51.55703290169082, -0.4425445110476715 51.55824452045697, -0.4413407348758874 51.5627259210132, -0.4468633311561612 51.56599596727099))"
1825,88195dac25fffff,1,"POLYGON ((-0.4634364641939171 51.57580489189228, -0.470164858517662 51.57459266260097, -0.471366916971185 51.57011095855428, -0.4658413745615156 51.56684174805348, -0.4591140475052117 51.56805401305875, -0.4579111957024143 51.57253545283506, -0.4634364641939171 51.57580489189228))"
1826,88195dac27fffff,5,"POLYGON ((-0.4591140475052117 51.56805401305875, -0.4658413745615156 51.56684174805348, -0.4670435651195141 51.56235981869821, -0.4615192217429717 51.5590904186795, -0.4547929616924286 51.56030271949722, -0.4535899781239198 51.56478438450542, -0.4591140475052117 51.56805401305875))"
1827,88195dac29fffff,1,"POLYGON ((-0.4432518670953136 51.57943877848699, -0.4499799682993076 51.57822794979983, -0.4511834814651506 51.57374699969853, -0.4456596864114612 51.57047714267204, -0.4389326527407167 51.57168800735093, -0.437728346701741 51.57616869304881, -0.4432518670953136 51.57943877848699))"
1828,88195dac2bfffff,3,"POLYGON ((-0.4389326527407167 51.57168800735093, -0.4456596864114612 51.57047714267204, -0.4468633311561612 51.56599596727099, -0.4413407348758874 51.5627259210132, -0.4346147684763973 51.56393682178233, -0.4334103311972429 51.56841773270328, -0.4389326527407167 51.57168800735093))"
1829,88195dac31fffff,2,"POLYGON ((-0.4302982137370501 51.55618522216862, -0.4370231131272044 51.55497428521085, -0.4382270205744301 51.55049265964398, -0.4327068206003739 51.54722223565251, -0.4259829879576526 51.54843320889729, -0.4247782886527658 51.55291456983082, -0.4302982137370501 51.55618522216862))"
1830,88195dac35fffff,4,"POLYGON ((-0.4425445110476715 51.55824452045697, -0.4492700910077068 51.55703290169082, -0.4504732061901128 51.55255101159531, -0.4449515337885273 51.54928100477884, -0.4382270205744301 51.55049265964398, -0.4370231131272044 51.55497428521085, -0.4425445110476715 51.55824452045697))"
1831,88195dac37fffff,4,"POLYGON ((-0.4382270205744301 51.55049265964398, -0.4449515337885273 51.54928100477884, -0.4461547804331402 51.54479888974065, -0.4406343059013714 51.54152869415714, -0.4339108591715196 51.54274038521958, -0.4327068206003739 51.54722223565251, -0.4382270205744301 51.55049265964398))"
1832,88195dac3bfffff,5,"POLYGON ((-0.4180540703113695 51.55412482522348, -0.4247782886527658 51.55291456983082, -0.4259829879576526 51.54843320889729, -0.4204642604828694 51.54516236807875, -0.4137411088900671 51.54637265994641, -0.4125356181347098 51.55085375614193, -0.4180540703113695 51.55412482522348))"
1833,88195dac3dfffff,1,"POLYGON ((-0.4346147684763973 51.56393682178233, -0.4413407348758874 51.5627259210132, -0.4425445110476715 51.55824452045697, -0.4370231131272044 51.55497428521085, -0.4302982137370501 51.55618522216862, -0.4290936453692766 51.56066635816813, -0.4346147684763973 51.56393682178233))"
1834,88195dac41fffff,5,"POLYGON ((-0.4071994622145284 51.59444408812676, -0.4139280405523845 51.5932360961378, -0.4151343311825475 51.58875688012451, -0.4096128358443272 51.58548592067676, -0.4028853258314528 51.58669394911454, -0.4016782429433432 51.59117290053555, -0.4071994622145284 51.59444408812676))"
1835,88195dac43fffff,10,"POLYGON ((-0.4028853258314528 51.58669394911454, -0.4096128358443272 51.58548592067676, -0.4108192571533997 51.58100647923708, -0.4052989604803702 51.5777353308883, -0.3985725185298719 51.57894339587335, -0.3973653053014801 51.5834225726442, -0.4028853258314528 51.58669394911454))"
1836,88195dac47fffff,2,"POLYGON ((-0.4151343311825475 51.58875688012451, -0.421862523675649 51.58754816991176, -0.4230681526574198 51.58306846390784, -0.4175463815848502 51.57979773266518, -0.4108192571533997 51.58100647923708, -0.4096128358443272 51.58548592067676, -0.4151343311825475 51.58875688012451))"
1837,88195dac49fffff,4,"POLYGON ((-0.3992635458503056 51.60013008778487, -0.4059925098180318 51.59892281405367, -0.4071994622145284 51.59444408812676, -0.4016782429433432 51.59117290053555, -0.3949503475639297 51.59238021080517, -0.3937426029789498 51.59685867211186, -0.3992635458503056 51.60013008778487))"
1838,88195dac4dfffff,4,"POLYGON ((-0.4115149282445948 51.60219381252303, -0.4182445751701402 51.60098585688432, -0.4194507349698689 51.59650686644174, -0.4139280405523845 51.5932360961378, -0.4071994622145284 51.59444408812676, -0.4059925098180318 51.59892281405367, -0.4115149282445948 51.60219381252303))"
1839,88195dac51fffff,6,"POLYGON ((-0.3863279373359528 51.57687921440851, -0.3930536963271084 51.57567183076663, -0.394261039744512 51.57119242879026, -0.3887434154551421 51.56792067528989, -0.3820187242640019 51.56912809576549, -0.3808105896736501 51.57360723289206, -0.3863279373359528 51.57687921440851))"
1840,88195dac53fffff,6,"POLYGON ((-0.3820187242640019 51.56912809576549, -0.3887434154551421 51.56792067528989, -0.389950888910424 51.56344104825234, -0.3844344621207942 51.56016910660104, -0.3777108384670446 51.56137656400865, -0.376502574176952 51.56585592611989, -0.3820187242640019 51.56912809576549))"
1841,88195dac55fffff,7,"POLYGON ((-0.3985725185298719 51.57894339587335, -0.4052989604803702 51.5777353308883, -0.4065055123169387 51.57325566416655, -0.4009864138952431 51.56998432715953, -0.394261039744512 51.57119242879026, -0.3930536963271084 51.57567183076663, -0.3985725185298719 51.57894339587335))"
